city,city_query,country,income_level,region,hemisphere,image_name,sat_image_name,tile_x,tile_y,patch_lon,patch_lat,min_lon,min_lat,max_lon,max_lat,patch_area_km2,indicator_column,indicator_value,indicator_value_log1p,indicator_value_raw,indicator_value_city_pct,city_split,indicator_split,split
Perth,Perth,Australia,High income,East Asia & Pacific,south,9714_13464.png,9714_13464.png,13464,9714,115.85083006773118,-31.70012925063648,115.83984375,-31.709476360019345,115.86181640625,-31.69078180613681,4.315609626513006,education_accessibility,0.2403846153846154,0.4313280480558994,0.539300431653657,0.2403846153846154,seen_city,train_indicator,train
Munich,Munich,Germany,High income,Europe & Central Asia,north,5665_8719.png,5665_8719.png,8719,5665,11.59057618600891,48.436489614275615,11.57958984375,48.4292005555684,11.6015625,48.44377831058803,2.635799241362027,food_accessibility,0.5186567164179104,1.9480897546407787,6.015273878566999,0.5186567164179104,seen_city,train_indicator,train
Rawalpindi,Rawalpindi,Pakistan,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",south,6569_11520.png,6569_11520.png,11520,6569,73.13598631196105,33.55055083073513,73.125,33.54139466898275,73.14697265625,33.559706648411975,4.144260460169203,digital_modernization_tmi,0.3908794788273615,0.3908794788273615,0.8000488058227672,0.3908794788273615,seen_city,train_indicator,train
Vienna,Vienna,Austria,High income,Europe & Central Asia,north,5699_8928.png,5699_8928.png,8928,5699,16.182861334709234,47.93842658753665,16.171875,47.93106634750977,16.19384765625,47.94578646368719,2.6853107428469163,nighttime_light_intensity,0.7784045124899275,1.7207244854763897,,0.7784045124899275,seen_city,train_indicator,train
Oslo,Oslo,Norway,High income,Europe & Central Asia,north,4752_8673.png,4752_8673.png,8673,4752,10.579833989228948,60.05935731115032,10.56884765625,60.05387385148492,10.5908203125,60.064840460104506,1.494452428071614,food_accessibility,0.2059210526315789,0.1733595941578645,0.1892936912640422,0.2059210526315789,seen_city,train_indicator,train
Auckland,Auckland,New Zealand,High income,East Asia & Pacific,south,10012_16146.png,10012_16146.png,16146,10012,174.78149412303304,-37.0990026158284,174.7705078125,-37.107765071185135,174.79248046875,-37.09023980307207,3.799630264132979,digital_total_cell_intensity,0.0168195718654434,1.638065523834123,4.14520659929795,0.0168195718654434,seen_city,train_indicator,train
Taizhou,Taizhou,China,Upper middle income,East Asia & Pacific,north,6627_13657.png,6627_13657.png,13657,6627,120.0915527085216,32.481962824118405,120.08056640625,32.472695022061494,120.1025390625,32.49123028794759,4.249660635449359,education_accessibility,0.5344827586206896,1.7240407762829467e-05,1.7240556379513453e-05,0.5344827586206896,seen_city,train_indicator,train
Oslo,Oslo,Norway,High income,Europe & Central Asia,north,4761_8675.png,4761_8675.png,8675,4761,10.623779301894,59.96051013808861,10.61279296875,59.95501026206206,10.634765625,59.966009702748345,1.5034017423402448,digital_modernization_tmi,0.3296052631578947,0.3296052631578947,1.1563367660569115,0.3296052631578947,seen_city,train_indicator,train
Phoenix,Phoenix,United States,High income,North America,north,6591_3091.png,6591_3091.png,3091,6591,-112.07153321250492,33.14674991781703,-112.08251953125,33.137551192346145,-112.060546875,33.15594830078649,4.180460388589621,food_accessibility,0.1605599011939069,0.0075260868064708,0.0075544789804077,0.1605599011939069,seen_city,train_indicator,train
Vienna,Vienna,Austria,High income,Europe & Central Asia,north,5690_8945.png,5690_8945.png,8945,5690,16.556396492993,48.07073792239435,16.54541015625,48.06339653776212,16.5673828125,48.07807894349861,2.672022478286696,education_accessibility,0.6341659951651893,1.5382747842213582,3.656549784033488,0.6341659951651893,seen_city,train_indicator,train
Taizhou,Taizhou,China,Upper middle income,East Asia & Pacific,north,6629_13648.png,6629_13648.png,13648,6629,119.89379880049012,32.444884659226695,119.8828125,32.43561304116277,119.90478515625,32.45415593941475,4.254237219688135,digital_modernization_tmi,0.2974137931034483,0.2974137931034483,0.6003747501128505,0.2974137931034483,seen_city,train_indicator,train
Warsaw,Warsaw,Poland,High income,Europe & Central Asia,north,5380_9167.png,5380_9167.png,9167,5380,21.4343261738744,52.42252262079309,21.42333984375,52.415822612378776,21.4453125,52.42922227795512,2.2270754941531874,nighttime_light_intensity,0.7027300303336703,2.018486476727091,,0.7027300303336703,seen_city,train_indicator,train
